root=bm001 (Кровати и матрасы)
tree_size=16
suspect_count=486

id=12180 | sku=60320188 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12183 | sku=30618166 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12184 | sku=30526402 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12185 | sku=90427102 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12186 | sku=50440332 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18724(Детские матрасы),18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12188 | sku=50113938 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),bc002(Товары для новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12189 | sku=30530282 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12190 | sku=90618050 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12191 | sku=80618036 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12193 | sku=90573693 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12194 | sku=10573649 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),bc002(Товары для новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12196 | sku=80412610 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12213 | sku=20554037 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
